,name,location,about,tags,overallRating,overallRatingCnt
585,Squeeze,"171 Thomson Road Goldhill Shopping Centre, Singapore 307622 Singapore","A contemporary massage apothecary, striving to bring you an extraordinary spatial and spiritual experience while embracing traditional techniques in cultivating bodily wellness.",Sports Camps &amp; Clinics,5.0,3
586,Masjid Yusof Ishak,"10 Woodlands Drive 17 Masjid Yusof Ishak Woodlands, Singapore 737740 Singapore",,Architectural Buildings • Religious Sites,4.0,3
587,Sembawang Shopping Centre,"604 Sembawang Road Sembawang Shopping Centre, Singapore 758459 Singapore",,Shopping Malls,3.5,3
588,Lim Bo Seng Memorial,"1 Esplanade Drive Esplanade - Theatres On the Bay, Singapore 038981 Singapore",,Monuments &amp; Statues,3.5,20
589,Antiques of the Orient,"19 Tanglin Road # 02 Tanglin Shopping Centre 40, Singapore 247909 Singapore","As the name suggests, Antiques of the Orient boasts unique artefacts from Asia’s colonial past. There are delicate Chinese porcelain, furniture, rare maps and prints, along with Antiquarian books.",Antique Shops,5.0,5
590,Degiosart,"Tiong Bahru, Blk 57 01-82 Eng Hoon Street, Singapore 160057 Singapore","DEGIOSART is born out of a long passion for antiques, vintage and contemporary fine objects and works of art from Europe and Asia. the aesthetic beauty of unique and refined objects is revealed to those who appreciate their details. their age and provenance is no longer important; they simply have a voice of their own. DEGIOSART adds a modern twist to antiques and vintage by giving them a new purpose, a new space and combining them with contemporary fine art. Its showrooms illustrate that concept by way of regularly rotating its collection on display. all sort of objects are exhibited to furnish and decorate homes or simply to collect; from sculptures, paintings, prints, carpets, vessels, furniture or textiles bought in Japan, Tibet, Myanmar, Laos, Cambodia, India, China, Indonesia, Vietnam and of course Europe, Giuseppe De Giosa the founder is an Italian former banker. DEGIOSART’s mission is to encourage the appreciation of highly refined objects and artworks. DEGIOSART also supports contemporary artists and designers who demonstrate genuine creativity and talent.",Art Galleries,5.0,12
591,Singapore Coins And Notes Museum,"40 Pagoda Street, Singapore 059199 Singapore",,Speciality Museums,3.0,7
592,Pandan Reservoir,,,Nature &amp; Wildlife Areas,3.5,8
593,Amazing Castle,"8 Grange Road Cathay Cineleisure  Orchard, Singapore 239695 Singapore",,Playgrounds,5.0,2
594,Bukit Chermin Boardwalk,,,Piers &amp; Boardwalks,3.5,7
595,Tampines Eco Green,"9 Tampines Avenue Tampines Avenue 12, Singapore 529787 Singapore",,Parks,4.0,3
596,Former Keng Teck Whay Building,"150 Telok Ayer Street, Singapore 068608 Singapore",,Historic Walking Areas • Architectural Buildings • Religious Sites,3.5,9
597,KF1 Arena Karting Circuit,"511 Upper Jurong Road Arena Country Club, Singapore 638366 Singapore","KF1 Arena is the second circuit under the KF1 brand located at Arena Country Club @ Jurong. With a track length of 780m and 14 turns, this circuit gives a different challenge and experience from the main circuit at Kranji (KF1 Karting Circuit).",Auto Racing Tracks,4.5,3
598,UOB Art Gallery,"80 Raffles Place, UOB Plaza 1, Ground Floor, Singapore 048624 Singapore","UOB Art Gallery provides a creative respite amid the hustle and bustle of Singapore's Central Business District. It is a place where members of the public can gather to appreciate works in the UOB Art Collection. From time to time, the gallery also features winning entries from the UOB Painting of the Year competition and solo exhibitions by the competition's alumni artists.",Art Galleries,5.0,3
599,Steel in Bloom,"Terminal 4 Departure Transit Hall, Singapore 918146 Singapore","Steel in Bloom explores the interactions of humans with Nature. The garden’s 6m-high centrepiece features intricate botanical motifs modelled in steel. This structure is juxtaposed with plants that have inspired its design, creating a sense of contrast in harmony. Enhanced by bright, multi-coloured lighting, this display is perfect for photographs and selfies.",Gardens,4.0,5
600,Katong Swimming Complex,"111 Wilkinson Road Katong Swimming Complex, Singapore 436752 Singapore",,Sports Complexes,5.0,1
601,Church of True Light,"25G Perak Road, Singapore 208142 Singapore",The Church of True Light is a full-fledged Anglican Church in 1963; a quiet place of contemplation set amid the hustle and bustle of teeming Little India.,Religious Sites,3.0,14
602,Old Malay and Muslim Cemeteries,,,Cemeteries,3.5,7
603,Former Thong Chai Medical Institution,"50 Eu Tong Sen Street Thong Chai Medical Institution, Singapore 059803 Singapore",,Historic Sites • Architectural Buildings,3.5,6
604,Sri Krishna Mandir,"9 Lor 29 Geylang, Singapore 388065 Singapore",,Religious Sites,4.0,5
605,Tampines Changkat Butterfly Garden,"124 Tampines Street 11 Tampines Court 11, Singapore 521124 Singapore",,Nature &amp; Wildlife Areas • Gardens,3.5,9
606,Hai Bin Prawning,"6 Tebing Lane #01-04, Singapore 828835 Singapore",,Bodies of Water,4.0,1
607,Knightsbridge,"270 Orchard Road Grand Park Orchard, Singapore 238857 Singapore",,Shopping Malls,3.0,10
608,Sri Manmatha Karuneshvarar Temple,"226 Kallang Road Contact Number Is Not Contactable, Singapore 339096 Singapore",,Religious Sites,3.5,2
609,Oriental Elixir,"10A Haji Lane Second Floor, Singapore 189203 Singapore",,Breweries,4.5,7
610,Pang Sua Pond,,,Bodies of Water,3.0,6
611,Tan Swie Hian Museum,"460 Sims Avenue, Singapore 387601 Singapore","The rustic and oldish feel of the Tan Swie Hian Museum is interesting to see for yourself, and is a testament to one of the most famous and hardworking artists working right here in Singapore.",Art Museums,5.0,2
612,Longchamp,,,Airport Shops,3.5,2
613,321 Clementi,"321 Clementi Avenue 3 321 Clementi, Singapore 129905 Singapore",,Shopping Malls,3.0,5
614,Singapore Trading Post,"315 Outram Road # 07 Tan Boon Liat Building 01 In the fashionable Tiong Bahru neighbourhood, Singapore 169074 Singapore",,Antique Shops,5.0,3
615,Art Plural Gallery,"38 Armenian Street, Singapore 179942 Singapore","Art Plural Gallery is a unique space dedicated to Modern, Contemporary Art and Design in the heart of Singapore's cultural district. Founded by Swiss art dealer Frederic de Senarclens, this innovative platform nestled in a four story Art Deco heritage building will present solo and group exhibitions, installations, public art projects, conferences, and art publications.",Art Galleries,5.0,6
616,Hougang Swimming Complex,"95 Hougang Avenue 4 Hougang Swimming Complex, Singapore 538830 Singapore",,Sports Complexes,4.0,3
617,Sree Maha Mariamman Temple,"251 Yishun Avenue 3, Singapore 769061 Singapore",,Points of Interest &amp; Landmarks,4.0,6
618,Heritage Marker SB31 - Squatters &amp; Squalor,,,Historic Sites • Points of Interest &amp; Landmarks,4.5,3
619,Coleman Bridge,,,Points of Interest &amp; Landmarks • Bridges • Scenic Walking Areas,3.0,10
620,Kebun Baru Birdsinging Club,,,Nature &amp; Wildlife Areas,4.5,4
621,College of Medicine Building,"16 College Road College of Medicine Building, Singapore 169854 Singapore","Presently the Ministry of Health, the College of Medicine was opened in 1926 to teach western medicine, largely through the endowments of wealthy local merchants. Its grand facade features twelve heavy fluted Doric columns with eleven enormous doors behind them. High up on the walls to the left and right of the colonnade are bas-reliefs that symbolise healing, while a sculptured Roman eagle surmounts the central doorway. In restoration work between 1985 and 1987, a grand staircase was added to the main lobby.",Architectural Buildings • Educational sites,3.0,7
622,The Singapore Buddhist Lodge,"17 Kim Yam Road Buddhist Lodge Association, Singapore 239329 Singapore",,Points of Interest &amp; Landmarks • Religious Sites • Monuments &amp; Statues,3.5,3
623,Victoria Lily Pond,,,Bodies of Water,4.0,4
624,Tua Peh Kong Temple,,,Religious Sites,3.5,6
625,The Canyon,"18 Marina Gardens Drive Gardens By the Bay Gardens by the Bay, Singapore 018953 Singapore",,Gardens,4.0,2
626,Water Lily Garden,"Terminal 1 Departure Hall, Level 2, Transit Hall, Singapore 918146 Singapore","The Water Lily Garden features water lilies in a natural aquatic garden environment. Inspired by the undulating shape of the water lily leaf, the meandering tiled walkway resembles radiating ripples on water after a pebble has been tossed into a pond. The garden shelters are designed in the shape of the water lily leaf.",Gardens,4.0,4
627,Ban Siew San Temple,"2 Telok Blangah Drive, Singapore 109256 Singapore",,Points of Interest &amp; Landmarks • Religious Sites,4.0,4
628,Masjid Hussain Sulaiman,"394 Pasir Panjang Road, Singapore 118730 Singapore",,Religious Sites,4.0,2
629,Singapore Expo,"1 Expo Drive Singapore Expo, Singapore 486150 Singapore",,Convention Centers,3.5,3
630,Kim Seng Park,,,Parks,3.5,10
631,Rainforest by Sats,,,Airport Lounges,3.0,4
632,Bukit Batok WWII Memorial Site,"Lor Sesuai, Singapore 596305 Singapore",,Historic Sites,3.5,15
633,Action City,"391B Orchard Road Ngee Ann City Tower B #B2-13 Ngee Ann City, Singapore 238874 Singapore",,Shopping Malls,3.5,5
634,Fort Canning Sculpture Trail,"Fort Canning Park, Singapore 179872 Singapore",,Points of Interest &amp; Landmarks • Historic Walking Areas • Monuments &amp; Statues,3.5,3
635,Ying Fo Fui Kun,"98 Telok Ayer Street, Singapore 048474, Singapore 048474 Singapore",,Points of Interest &amp; Landmarks • Historic Walking Areas • Architectural Buildings,3.0,6
636,Singapore Pinacothèque de Paris,"5 Cox Terrace Fort Canning Arts Centre Fort Canning Arts Centre, Singapore 179620 Singapore","Singapore Pinacothèque de Paris marks the first expansion outside Europe of the renowned Pinacothèque de Paris, heralding a pioneering international private museum in a thriving arts and lifestyle hub. Located in the rejuvenated Fort Canning Arts Centre, a heritage building set atop Singapore's historic and cultural landmark, Fort Canning Park, Singapore Pinacothèque takes centre stage with its distinctive expertise in international fine art, and offers a unique voice on history and culture in the region's visual arts landscape. 'Pinacothèque' translates as 'box of paintings' and refers to a place where paintings (or any image) are kept in which private collector pieces were displayed for public appreciation. We aim to stimulate your sense of curiosity and wonder through uniquely curated exhibitions, and by combining storytelling with state-of-the-art technology to create an experience that is immersive, interactive, engaging and fun. The museum's three main galleries feature a permanent collection of masterpieces, twice-yearly rotating blockbuster exhibitions, and a collection of artefacts that traces the legacy of Southeast Asia and Singapore. Delivering a fresh perspective on art, the exhibitions are curated with founder Marc Restellini's signature 'Transversality' credo that presents a dialogue between different works of art, connecting both artists and audiences alike through emotional and thematic links that cut across boundaries of genre, culture and era. The Singapore Pinacothèque de Paris Art Academy, La Boutique Pinacothèque museum shop and a unique variety of international retail and dining concepts also converge at Fort Canning Arts Centre to create a vibrant community of art appreciation, education and lifestyle for everyone.",Art Museums,3.0,21
637,Coach,,,Airport Shops,2.5,3
638,Serene Centre,"10 Jalan Serene Serene Centre Corner between Bukit Timah Road and Farrer Road, Singapore 258748 Singapore",,Shopping Malls,3.0,3
639,Telok Ayer Chinese Methodist Church,"235 Telok Ayer Street, Singapore 068656, Singapore 068656 Singapore",,Architectural Buildings • Religious Sites • Churches &amp; Cathedrals,3.5,7
640,Fish@Big Splash,"902 East Coast Parkway Aquatic Complex (Big Splash) #01-30, Block H, Big Splash, Singapore 449874 Singapore",,Amusement &amp; Theme Parks,3.0,2
641,Heritage Zone,,,Points of Interest &amp; Landmarks,4.5,3
642,Kok Fah Technology Farm,"18 Sungei Tengah Road, Singapore 698974 Singapore","Kok Fah Technology Farm is a local family-owned business that sells leafy vegetables in Singapore for the past 30 years. Daily operations are now run by the 2nd and the 3rd generation of the family who took over from their father in 1979. We welcome you to understand how farming industries co-exist in the bustling city, Singapore. Be intrigued by our customised guided tours, freshest vegetables harvested straight from the farm and a one-of-a-kind experience. We are located at 18 Sungei Tengah Road S698974, in the subtle northwest corner of Singapore. A place that is out of urban and embraced by Mother Nature.",Farms,3.5,3
